phone_number,status
6476758786,Active
6104753433,Inactive
6275429757,Inactive
7115405589,Active
7102385064,Active
7370946669,Active
9371011894,Inactive
7427388399,Active
7133761389,Inactive
7864244200,Active
9801247680,Active
9907542902,Active
6050626993,Inactive
6333350578,Inactive
8877576895,Inactive
9946771683,Active
8765166204,Inactive
9068753995,Active
6883247075,Active
6503944257,Inactive
6744891384,Active
9554998770,Inactive
7021137184,Active
9815939743,Active
6347375304,Inactive
7833504584,Inactive
6617087273,Active
8639557198,Inactive
9924592781,Inactive
6997256920,Inactive
9142738408,Inactive
9375245398,Inactive
6814775473,Active
7785424913,Active
8491875172,Active
6869093679,Inactive
8515507368,Active
6351451988,Inactive
6487361057,Active
6013773945,Active
7632472776,Inactive
6372794045,Inactive
7379902550,Inactive
9563089045,Active
6489778538,Active
8769549530,Active
7142194674,Active
7110055437,Active
7326022354,Inactive
8565540229,Inactive
7926430921,Inactive
7672256458,Inactive
6554823668,Active
7907757012,Inactive
8515789220,Active
9031082571,Active
7507061934,Inactive
9257702395,Active
8445327399,Inactive
7951496667,Active
8732934821,Inactive
9980870868,Inactive
9920531087,Inactive
8179061905,Active
9554935964,Inactive
7599797282,Inactive
8752039970,Active
9164668089,Active
9981571246,Active
8038696101,Inactive
9988791268,Inactive
6738686437,Inactive
8374373167,Inactive
9623792563,Inactive
9767393759,Inactive
6751599762,Inactive
7074227652,Inactive
9062820401,Active
6218019205,Inactive
8714060153,Inactive
9095720084,Active
8244935464,Active
7019753824,Inactive
8780616198,Inactive
8922600169,Active
9537946209,Inactive
9908321879,Inactive
8122763370,Inactive
6590475796,Active
8438210072,Inactive
7095394412,Active
7800733656,Inactive
7220112832,Inactive
8209026646,Inactive
8024810589,Inactive
8653187338,Inactive
6982770905,Active
7974455936,Active
6592288408,Active
8586162138,Inactive
9071721168,Inactive
8986659958,Inactive
7855217399,Active
6277282391,Inactive
6296487555,Inactive
7669391788,Active
9200929188,Inactive
7575985624,Active
6031697611,Inactive
9964332737,Active
8567045751,Inactive
7101822260,Active
9551794256,Inactive
7691432247,Active
7449376175,Inactive
7777142776,Inactive
7275915502,Inactive
6111289041,Active
9391492115,Active
8864531026,Active
6844149625,Inactive
7387245870,Active
